SNK Playmore,7.4526315789473685,6.794736842105263
Ascaron Entertainment GmbH,7.45,7.3
Quicksilver Software,7.45,6.35
Hellbent Games,7.45,5.575
Nippon Ichi Software,7.445454545454547,7.459090909090909
TOSE,7.441176470588235,7.202941176470588
Avalanche Software,7.437499999999998,6.45625
Microids,7.433333333333334,7.022222222222223
989 Sports,7.433333333333334,6.533333333333333
EA LA,7.43125,7.36875
Now Production,7.43,6.659999999999999
Bizarre Creations,7.429999999999998,7.31
Traveller's Tales,7.429411764705883,7.258823529411766
Bigbig Studios,7.425,7.1
Ignition Entertainment,7.425,7.7
Backbone Entertainment,7.418749999999999,7.1375
Engine Software,7.416666666666668,7.866666666666667
Blue Tongue Entertainment,7.416666666666668,6.7
Arkane Studios,7.416666666666667,8.5
Gas Powered Games,7.414285714285714,7.7857142857142865
Kojima Productions,7.408333333333332,8.008333333333333
The Game Factory,7.4,5.45
Fusionsphere Systems,7.4,6.6
Blue 52,7.4,5.1
Respawn Entertainment,7.4,8.66
Sanzaru Games/ Sanzaru Games Inc.,7.4,7.3
Dimps Corporation/ Namco Bandai Games,7.4,7.15
Matrix Software/ Marvelous Entertainment,7.4,7.1
Santa Entertainment,7.4,6.2
Sabertooth Games,7.4,5.5
Nightlight Studios,7.4,3.9
Ubisoft Vancouver,7.4,4.725
MASA Group,7.4,4.7
Carbine Studios,7.4,8.2
G-Artists,7.4,6.35
Naughty Dog/ Sony Bend,7.4,8
Krome Studios/ Screenlife Games,7.4,7.6
I-Imagine,7.4,6
Brownie Brown,7.4,7.05
Appaloosa Interactive,7.3999999999999995,5.8
Page 44 Studios,7.3999999999999995,6.777777777777777
id Software/ Raven Software,7.3999999999999995,7.2333333333333325
SCEJ,7.3999999999999995,6.933333333333333
2K Marin,7.383333333333333,7.783333333333333
EA Games,7.383333333333332,6.783333333333333
Sumo Digital,7.382352941176471,7.23529411764706
Nd Cube,7.375,7.3
Eugen Systems,7.375,7.525
EA Black Box,7.372727272727274,7.99090909090909
Success,7.366666666666667,6.3
Farsight Studios,7.359999999999999,7.06
Racjin,7.354545454545454,6.263636363636364
iNiS,7.3500000000000005,7.35
Project Aces,7.3500000000000005,7.533333333333333
EA Seattle,7.3500000000000005,7.15
Taito Corporation,7.35,6.95625
Introversion/ Double Eleven,7.35,7.7
Z-Axis/ Ltd.,7.346666666666666,6.873333333333333
Image Epoch/ Imageepoch,7.344444444444444,6.333333333333334
Gearbox Software,7.333333333333333,7.503703703703704
Mercury Steam/ Alchemic Productions,7.333333333333333,6.2
Idea Factory/ Compile Heart,7.333333333333333,5.2
Bandai Namco Games,7.331578947368421,6.7368421052631575
Access Games,7.324999999999999,6.4
EA Canada,7.323178807947021,7.63112582781457
Frogwares,7.3166666666666655,6.65
Climax Group,7.315384615384617,6.492307692307692
Juice Games,7.3125,6.75
Acclaim Studios Cheltenham,7.31,6.57
High Moon Studios,7.309090909090909,6.772727272727273
PopTop Software,7.300000000000001,7.3
Konami Software Shanghai,7.3,6.4
Trendy Entertainment,7.3,8.1
SuperBot Entertainment,7.3,7.4
Crea-Tech,7.3,6.2
NaturalMotion,7.3,5.6
EnjoyUp Games,7.3,6.8
SCE/WWS/ Media Molecule,7.3,9.1
Indies Zero,7.3,7.7125
Razorworks Studios,7.3,5.05
Monolith Soft/ Banpresto,7.3,7
odenis studio,7.3,7.3
Neon Studios,7.3,7.2
1C/ Ino-Co/ 1C Company,7.3,7.2
Machatin/ Inc.,7.3,5.6
SCEA/ Think and Feel,7.3,6.3
369 Interactive,7.3,4.5
King of the Jungle,7.3,4.5
The Workshop,7.3,7
Compile Heart/ GCREST,7.3,5.5
Digital Eclipse,7.287499999999999,7.0125
BioWare,7.281818181818181,8.804545454545455
SCEA San Diego Studios,7.276,7.9
Stormfront Studios,7.275,6.85
Sega,7.2749999999999995,7.078125
Planet Moon Studios,7.2749999999999995,6.9
Bethesda Game Studios,7.2666666666666675,9.055555555555555
Swordfish Studios,7.266666666666667,7.2
Gratuitous Games,7.266666666666667,7.333333333333333
Pam Development,7.266666666666666,7.533333333333333
SCE Studio Cambridge,7.266666666666666,6.233333333333333
Take-Two Interactive,7.266666666666666,7.133333333333333
SEGA Racing Studio,7.266666666666666,7.533333333333333
Acclaim,7.263999999999999,6.464
EA Montreal,7.2625,7.15
Ubisoft Paris,7.257142857142859,6.842857142857143
Moss,7.25,6.35
Genius Sonority Inc.,7.25,6.5
Disney Interactive,7.25,6.95
Other Ocean Interactive,7.25,7.2
Vicious Cycle,7.241666666666666,6.441666666666667
Eden Studios,7.237500000000001,7.15
NanaOn-Sha,7.233333333333334,7.2666666666666675
Evolution Studios,7.233333333333333,7.65
LucasArts,7.233333333333333,6.7904761904761894
Hydravision,7.233333333333333,5.6
Neverland/ Idea Factory,7.233333333333333,5.166666666666666
SCEA,7.221428571428571,7.157142857142857
Warthog,7.212499999999999,6.05
Avalanche Studios,7.211111111111112,7.566666666666667
Maxis,7.204761904761904,7.4452380952380945
WayForward,7.200000000000001,6.477777777777777
Kadokawa,7.2,6.5
VU Games,7.2,4.7
Gust/ Idea Factory,7.2,6.2
Panther Software,7.2,4.4
M2,7.2,7.15
Activision/ Traveller's Tales,7.2,6.3
Gust,7.2,6.807142857142857
Paradox Development Studio,7.2,7.7
Opus Studio,7.2,6
Netherock Ltd.,7.2,8
TimeGate Studios,7.2,6.7333333333333325
Ubisoft Montreal,7.194318181818182,7.526136363636364
Cavia Inc.,7.191666666666666,6.2
Arika,7.185714285714286,6.414285714285714
Griptonite Games,7.178260869565219,6.504347826086956
343 Industries,7.175000000000001,8.45
RedLynx,7.175,7.65
SCEE,7.175,6.8875
Konami,7.1659999999999995,7.176
Haemimont,7.163636363636363,7.1
CyberConnect2/ Racjin,7.15,7.4
